"","Long","Lat","texture_class","clay_content","bulk_density","aluminium_extractable","carbon_total","calcium_extractable","cation_exchange_capacity","iron_extractable","potassium_extractable","magnesium_extractable","nitrogen_total","carbon_organic","phosphorous_extractable","sulphur_extractable","zinc_extractable","ph","sand_content","silt_content","stone_content"
"1",4.97962,5.92198,"Clay",40,1.06,133.3,32.1,444.9,11.2,108.9,89,133.3,1.5,12.5,10,10,4,5.6,46,20,0.3
"2",4.93197,5.96898,"Sandy Clay Loam",32,1.02,108.9,48.4,269.4,9,108.9,80.5,53.6,1.6,19.1,11.2,10,4,5.1,57,18,0.1
"3",4.97962,5.96898,"Clay",43,1.13,133.3,43.7,329.3,10,120.5,89,108.9,1.5,13.9,9,8,4,5.3,42,18,1
"4",4.88432,6.01597,"Sandy Clay",36,1.05,108.9,39.4,329.3,10,98.5,80.5,163,1.3,15.4,11.2,10,4,5.5,50,18,0.5
"5",4.93197,6.01597,"Sandy Clay Loam",27,1.11,147.4,48.4,220.4,8,120.5,65.7,59.3,1.6,13.9,9,7.2,2.7,5.2,59,16,0.6
"6",4.97962,6.01597,"Sandy Clay Loam",32,1.16,133.3,53.6,147.4,7.2,108.9,65.7,59.3,1.6,13.9,9,8,3.5,5.1,51,16,0.8
"7",5.02727,6.01597,"Sandy Clay Loam",30,1.19,133.3,53.6,220.4,8,120.5,53.6,65.7,1.7,15.4,10,7.2,2.7,5.1,44,16,0.5
"8",4.83667,6.06297,"Clay Loam",39,1.19,133.3,29,329.3,13.9,89,80.5,147.4,1.3,10,11.2,9,3.5,5.2,42,17,0.5
"9",4.88432,6.06297,"Sandy Clay Loam",28,1.14,133.3,53.6,220.4,7.2,98.5,65.7,53.6,1.5,12.5,11.2,8,4,5.2,54,13,0.6
"10",4.93197,6.06297,"Sandy Clay Loam",27,1.11,133.3,53.6,199.3,8,133.3,59.3,53.6,1.6,15.4,10,7.2,4,5.1,59,14,0.5
"11",4.97962,6.06297,"Sandy Clay",36,1.17,133.3,48.4,243.7,9,120.5,59.3,59.3,1.6,15.4,10,7.2,3.5,5.2,41,15,1.2
"12",5.02727,6.06297,"Sandy Clay",36,1.14,108.9,48.4,180.3,10,98.5,72.7,72.7,1.8,13.9,9,7.2,3.5,5.2,49,14,0.5
"13",4.78902,6.10997,"Sandy Clay Loam",35,1.18,133.3,32.1,297.9,9,80.5,65.7,98.5,1.3,11.2,10,8,3.5,5.3,57,17,0.5
"14",4.83667,6.10997,"Sandy Clay Loam",31,1.14,108.9,48.4,133.3,7.2,108.9,65.7,48.4,1.5,13.9,10,9,3.5,5.2,54,16,0.3
"15",4.88432,6.10997,"Sandy Clay Loam",29,1.16,133.3,53.6,220.4,10,120.5,65.7,59.3,1.5,13.9,10,7.2,3.5,5.2,50,14,0.3
"16",4.942,6.12032,"Sandy Clay Loam",25,1.15,133.3,48.4,180.3,7.2,108.9,65.7,59.3,1.3,13.9,10,7.2,3.1,5,53,11,0.8
"17",4.97962,6.10997,"Sandy Clay",37,1.12,120.5,48.4,147.4,11.2,133.3,65.7,59.3,1.6,13.9,11.2,6.4,3.1,5,44,15,1
"18",5.02727,6.10997,"Clay Loam",40,1.13,133.3,48.4,180.3,9,120.5,65.7,65.7,1.7,13.9,9,7.2,4,5,45,15,0.8
"19",5.07492,6.10997,"Sandy Clay Loam",28,1.16,108.9,53.6,180.3,8,147.4,65.7,59.3,1.7,15.4,10,6.4,3.1,5.2,54,14,0.3
"20",4.74137,6.15697,"Sandy Clay Loam",28,1.09,89,48.4,243.7,9,89,80.5,48.4,1.4,13.9,10,9,3.5,5.3,60,13,0.2
"21",4.78902,6.15697,"Sandy Clay Loam",29,1.16,163,43.7,199.3,8,108.9,59.3,59.3,1.5,11.2,10,7.2,3.5,5.3,59,14,0.5
"22",4.83667,6.15697,"Sandy Clay Loam",24,1.14,108.9,53.6,180.3,8,108.9,65.7,53.6,1.4,12.5,9,7.2,4.5,5.2,61,12,0.8
"23",4.88432,6.15697,"Sandy Clay Loam",28,1.14,163,48.4,220.4,8,133.3,65.7,59.3,1.5,12.5,10,7.2,4,5.1,52,13,0.5
"24",4.93197,6.15697,"Sandy Clay Loam",29,1.14,147.4,48.4,199.3,10,120.5,65.7,53.6,1.5,13.9,10,7.2,3.1,5.2,57,12,0.5
"25",4.97962,6.15697,"Sandy Clay Loam",35,1.11,133.3,59.3,220.4,10,120.5,65.7,53.6,1.6,15.4,10,10,3.5,5,38,16,0.5
"26",5.02727,6.15697,"Sandy Clay Loam",34,1.08,147.4,43.7,163,9,147.4,65.7,59.3,1.8,13.9,10,7.2,3.5,5.1,51,13,0.8
"27",5.07492,6.15697,"Sandy Clay Loam",31,1.11,120.5,48.4,163,9,133.3,59.3,65.7,1.7,13.9,10,8,3.1,5.2,54,14,0.5
"28",5.12258,6.15697,"Sandy Clay Loam",28,1.12,120.5,53.6,133.3,7.2,120.5,65.7,43.7,1.4,13.9,9,8,5,5.1,53,15,0.8
"29",4.69371,6.20396,"Clay Loam",39,1.04,147.4,32.1,402.4,12.5,98.5,80.5,133.3,1.7,15.4,11.2,10,4,5.4,47,20,0.3
"30",4.74137,6.20396,"Sandy Clay Loam",23,1.15,120.5,53.6,199.3,7.2,108.9,59.3,59.3,1.4,15.4,10,7.2,3.1,5.1,63,12,0.3
"31",4.78902,6.20396,"Sandy Clay Loam",24,1.19,133.3,48.4,180.3,9,98.5,59.3,53.6,1.7,12.5,10,7.2,3.5,5.2,61,14,0.8
"32",4.83667,6.20396,"Sandy Clay Loam",27,1.09,133.3,53.6,163,7.2,108.9,59.3,53.6,1.5,15.4,10,7.2,4,5.1,58,15,0.5
"33",4.88432,6.20396,"Sandy Clay Loam",30,1.09,120.5,48.4,220.4,7.2,147.4,59.3,35.6,1.5,13.9,10,8,4,5,55,13,0.6
"34",4.93197,6.20396,"Sandy Clay Loam",33,1.16,163,53.6,220.4,10,133.3,65.7,59.3,1.7,13.9,10,8,5,5.1,51,15,0.5
"35",4.97962,6.20396,"Sandy Clay Loam",33,1.13,180.3,53.6,180.3,9,133.3,59.3,48.4,1.5,15.4,10,9,4.5,5.1,51,14,0.5
"36",5.02727,6.20396,"Sandy Clay Loam",32,1.1,147.4,48.4,180.3,11.2,120.5,65.7,65.7,1.6,13.9,10,7.2,3.5,5.1,44,15,0.5
"37",5.07492,6.20396,"Sandy Clay Loam",31,1.13,133.3,53.6,147.4,8,120.5,72.7,53.6,1.6,13.9,10,8,4,5.2,50,15,0.8
"38",4.64606,6.25096,"Clay",41,1.13,147.4,35.6,297.9,11.2,108.9,80.5,108.9,1.2,11.2,10,8,3.5,5.4,49,18,0.5
"39",4.69371,6.25096,"Sandy Clay Loam",32,1.07,133.3,39.4,364,11.2,108.9,65.7,133.3,1.7,15.4,10,10,4,5.4,52,19,0.3
"40",4.74137,6.25096,"Sandy Clay Loam",25,1.13,133.3,53.6,199.3,8,120.5,59.3,48.4,1.6,15.4,9,7.2,4.5,5,58,14,0.8
"41",4.78902,6.25096,"Sandy Clay Loam",31,1.17,180.3,43.7,220.4,10,147.4,72.7,59.3,1.5,13.9,10,8,4,5.1,59,14,0.5
"42",4.83667,6.25096,"Sandy Clay Loam",29,1.16,180.3,48.4,147.4,8,120.5,65.7,59.3,1.4,12.5,9,8,4,5.2,53,12,0.8
"43",4.8882,6.24579,"Sandy Clay Loam",25,1.11,133.3,53.6,163,6.4,120.5,59.3,43.7,1.7,13.9,10,8,4.5,5,51,12,0.6
"44",4.93197,6.25096,"Sandy Clay Loam",32,1.12,120.5,43.7,133.3,7.2,147.4,65.7,43.7,1.5,13.9,10,9,4,5,48,14,0.5
"45",4.97962,6.25096,"Sandy Clay Loam",33,1.12,147.4,53.6,180.3,10,120.5,65.7,53.6,1.5,13.9,10,9,4.5,5,43,15,0.6
"46",5.02727,6.25096,"Clay Loam",39,1.14,147.4,48.4,199.3,11.2,120.5,65.7,48.4,1.7,15.4,10,7.2,4.5,5.1,45,16,0.6
"47",4.59841,6.29796,"Sandy Clay Loam",31,1.2,147.4,43.7,199.3,10,108.9,72.7,53.6,1.4,12.5,8,7.2,3.1,5.1,58,14,1
"48",4.64606,6.29796,"Sandy Clay Loam",24,1.15,133.3,39.4,199.3,9,120.5,65.7,65.7,1.3,12.5,9,7.2,3.1,5.2,61,13,0.6
"49",4.69371,6.29796,"Sandy Clay Loam",30,1.16,163,43.7,220.4,8,147.4,72.7,59.3,1.6,12.5,10,8,3.5,5.1,57,13,0.6
"50",4.74137,6.29796,"Sandy Clay Loam",27,1.12,133.3,48.4,163,7.2,108.9,59.3,39.4,1.5,17.2,9,7.2,4.5,5,53,15,0.2
"51",4.78902,6.29796,"Sandy Clay",35,1.16,199.3,39.4,220.4,9,147.4,65.7,65.7,1.7,12.5,10,8,2.7,5.1,52,16,0.8
